N,Well,Stage,1-Pentene,2-Methyl-1-butene,Pentane,"Pentane, 2-methyl-","Pentane, 3-methyl-",1-Hexene,n-Hexane,"Cyclopentane, methyl-","Pentane, 2,4-dimethyl-",Benzene,Cyclohexane,"Hexane, 2-methyl-","Hexane, 3-methyl-","Cyclopentane, 1,3-dimethyl-, cis-","Cyclopentane, 1,3-dimethyl-, trans-","Cyclopentane, 1,2-dimethyl-, trans-",1-Heptene,Heptane,"Cyclohexane, methyl-","Hexane, 2,5-dimethyl-",Toluene,"Heptane, 3-methyl-","Cyclohexane, 1,4-dimethyl-, trans-",1-Octene,"Cyclohexane, 1,2-dimethyl-, trans-",Octane,Ethylbenzene,"Benzene, 1,3-dimethyl-",p-Xylene,o-Xylene,1-Nonene,Nonane,"Benzene, propyl-","Benzene, 1-ethyl-3-methyl-","Benzene, 1-ethyl-4-methyl-",Mesitylene,"Benzene, 1-ethyl-2-methyl-","Benzene, 1,2,4-trimethyl-",1-Decene,Decane,"Benzene, n-butyl-",Undecane,"Benzene, 1,2,4,5-tetramethyl-",Dodecane,Tridecane,Tetradecane,Pentadecane,Hexadecane,Heptadecane,"Pentadecane, 2,6,10,14-tetramethyl-",Octadecane,"Hexadecane, 2,6,10,14-tetramethyl-"
309,field,1.0,2.9164215242344733,1.7887838852662283,4.160274706104931,1.0443803959867903,0.7146242201582653,0.7245017282403827,3.9245458130776614,-0.07720248853504445,-1.0900246269880425,4.517090177128687,-0.38398806850984435,-0.39547174529853873,-0.8040633214841355,-9.16061816693756,-2.7504432849713933,-2.0337273580387523,1.1777638377307353,0.5249621010796043,-1.380733051867038,-1.5355110186986605,2.401068890365358,-1.5114018471169273,-9.16061816693756,0.16794958640327226,-9.16061816693756,0.7240432813485186,0.13928864839766547,1.110805681814318,0.01502723524173557,2.551952922834818,-0.5174974189235324,1.2608890699447988,-0.5881795012953445,0.11429197568792247,-0.8970277343202412,-0.42028142420711323,-0.5662787663446691,0.8980766499009504,-1.4061366194671774,1.9735912232170554,-0.6722360573754426,2.6952655974548168,-1.2685397456894414,1.3761338565571357,1.1524261116099856,1.3906007026280305,1.3506765189914975,2.599846832581258,0.7300374067831894,0.5088544543957227,0.6988129994016479,0.4276105453765522
327,,,1.7007651868495344,0.8068506210078519,3.0765421063942595,-0.061056171890407594,-0.5255533717293999,-0.001939696719719599,1.360732763489159,-0.9136878003137708,-2.0128556754176397,3.7616295932509534,-1.5274248113231428,-1.7532396885863193,-1.4282603446772293,-10.018889854166648,-3.4014868761921715,-2.175041216014177,0.7269835143956622,-0.4883518180620054,-1.77797731247775,-2.6741708000169764,1.2197698031055648,-1.9181216110949177,-2.831232690051693,-0.07647009162873336,-2.736128674561056,0.1833680678066805,-0.4823440550679338,0.4703823606009251,-0.5288743801406016,1.9295577788793112,0.07934177516199097,1.590853743983593,2.1036272542563683,0.04900983461986581,-0.8459398714090254,0.6314988932607906,-0.6941499418819701,0.9248744100246253,-1.1293058623716765,1.6192575755569611,-1.0219902580432907,3.121560954936322,-0.8213308165551992,1.940713037245747,1.94004747555753,2.561167552244509,2.1125077353712296,3.8149074768847657,0.7474665562475595,1.3488132876465109,1.4693739977327178,0.5542203338824673
329,,,1.422308323621532,0.16277819609378064,2.570805984225683,-0.5474772417825554,-0.969207884826951,-0.5785930489719112,0.9416779542879885,-1.439942332077116,-2.605585044492976,3.3559603060979284,-1.3692088161123805,-1.4665500426035871,-1.429297349765698,-3.4177135832014134,-2.9967811827999413,-2.071323622132848,0.41225630174157507,-0.7800060850622004,-1.536273441015548,-1.9299556782537404,1.3308170050652324,-2.337555909942589,-3.142701363490684,0.7093772873206992,-3.1071390786634088,-0.20518881894211283,-0.46465040769461524,0.4950465605454554,-0.5426461916786948,1.6016247366558822,-0.7462975152789837,1.0113030351377523,2.969600142677198,-0.013015143158130188,-0.7855530549093466,0.004426040408581558,-0.9392726352106042,0.8759436566526266,-1.4194957520599365,1.4076100767610142,-0.8359582603479748,2.785538916866048,-0.5837599292388254,1.9983148739689818,1.9025201294597915,2.541909432320477,2.106122210251801,3.785922084400393,1.292229715741484,1.2223271093343613,0.5337203497175609,0.8210089843609466
267,field,2.0,1.407655583806805,-0.17358754073628535,3.176566327980857,-0.215663938770616,-0.6012813994121199,-0.888452746622973,2.8848523844256952,-1.0796339604429073,-2.539130258420166,3.0042353163576614,-1.3565689572453041,-0.91844884129723,-1.1006388710621904,-3.1524138166924067,-3.516087182645567,-2.7018252632003605,0.42220437124937776,0.26802213966360805,-1.6955926061808388,-2.3913182153287287,2.0562784382113137,-2.005357442808189,-3.2544706834146453,-0.4472949366802303,-3.0098657816404866,0.4308321680617799,0.09858406325013747,0.9297910378540456,0.2603730902410665,2.1351055156216936,-0.6594291462940399,1.0383939526229904,-0.502082066298821,0.3305394544117483,-0.5860719807485911,-0.5787404317886182,-0.5340749246254721,1.0892640823530912,-1.4450732801124497,1.960564857811801,-0.7953672876858114,4.386626957444327,-0.9009765929190223,1.5084469510324658,1.9822244540456648,1.6923943915513957,2.0541908214534588,3.2746011249163653,0.3431815397811884,0.3869111234709975,0.054838063919097166,-0.12723005846456217
269,field,2.0,1.5368269976220983,0.21082719394236807,3.698942839188609,0.13330854435514852,-0.08348454677135637,-1.0150374347519417,1.622167829574357,-0.5142143038918927,-2.173532704642426,2.7705466791119084,-1.2627329004092633,-0.9299918113689434,-0.9269350989741679,-2.4448961785725927,-2.6189936446327295,-2.1253547066286775,0.5742228312416875,-0.7537217917584645,-1.1163712168313007,-1.7950631008762734,1.4380494625766178,-1.8222176009747664,-3.1392657037414007,-0.8781857315654789,-2.958086351526223,0.06275656569787033,-0.3102050937647306,0.5268767829693439,-0.19294878975075996,1.5926793681222498,-1.067251382159925,0.11649482477802092,-1.0236116005052565,-0.0996008187735598,-1.080461286181368,-0.6408338427133348,-0.9466724039232819,0.7169735612907967,-2.0223932325053173,1.5400030190749385,-0.8710715189290092,3.180054950947502,-0.8597429482619156,2.0417369616915146,2.043910376827031,2.283001770342088,2.662660505792993,3.722422583431115,0.9785934271243378,1.0110728452727322,0.6985123338481735,0.5102354905628564
273,field,2.0,1.2983643928871516,-0.027923871408678188,3.0075404041558853,-0.22945879851027207,-0.571045975449992,-0.43883544157557025,3.07381316035894,-1.3381008938041843,-2.2881162187278465,3.0255653616242233,-2.0321169870930755,-0.7586835844241401,-0.8472443541405588,-3.5606736479541294,-3.3976082205832028,-2.6569986034221884,0.62257756244712,0.0549020631174089,-1.6992412664104672,-2.3644567909001726,1.8987381646089085,-1.8789828774458701,-3.190317213688143,0.8901417557465606,-2.7191190289578673,0.09544088584501617,-0.21994146204190915,0.6501681652295704,-0.4780150350397108,1.9499090743192402,-0.6896405822287279,0.3731365231598614,0.675901602951584,-0.22898988975653217,-1.3283577508066398,-0.45961001368626375,-0.9411732448765147,0.46448279256725156,-1.8757334838475606,1.3891040647340154,-1.5410200246532666,4.878480778933553,-1.3492963737936636,1.5057934596723659,2.2104222842273624,2.004924114092696,2.0386576264625935,3.4261797348208063,0.7370678133957507,1.1213158457703776,1.1932369401960152,0.5248370639028952
275,field,2.0,2.160984251131962,0.7342652622578546,3.766068510498215,0.1145949099935922,-0.003814477760589264,-0.9458746792631737,1.6935799708280572,-0.42576768106942514,-2.0397136891786256,3.5500241850497574,-1.2635637089603344,-1.4022407790835643,-1.198891425174828,-3.051813063939621,-3.1567674057494584,-2.3799137959138528,1.0106609156359798,-0.6979163951894807,-1.3292750115086196,-2.074188208268137,1.0113684239001024,-2.3500196406648106,-3.0027617690727917,-0.08210198167246498,-2.923321773622422,-0.08973021473567663,-0.7768453317652325,0.05856916842958103,-1.425516236846254,1.51768258179241,-0.6837757905393292,-0.09846555322912381,0.8263336054061684,-0.37439170720535386,-1.5577388127363956,-0.5051711786966206,-0.9908222301729013,0.5057524379679511,-1.9056010701500623,0.8344514045126067,-1.5224635640626316,2.3987152596103476,-1.111271176548759,1.9029964047441235,2.0304482355985436,2.7285551585622443,2.9010218201734057,4.365725064961442,1.3032889787277924,1.436854116894789,1.620144027750832,0.897653658352782
277,,,1.4551801645272258,0.09665303577010223,2.9736613641187093,-0.16074151427836322,-0.5088452804904243,-0.4402258575578558,1.516768812283339,-0.9915474219730745,-2.0715811126764208,3.17016964822066,-2.0445170426849155,-1.3044271028777787,-1.1923583684848338,-3.372753786751318,-3.42138141536574,-2.4179427970484633,0.7915801160738293,-0.46136474225742974,-1.6956936860440597,-2.3866556041100075,1.139241130045502,-1.7149592674925351,-2.7822256151902125,-0.4237397031519541,-2.9437279400596,0.4275600275228303,-0.4033734991857518,0.5625970766318219,-0.3577991301938915,2.2502327346133706,-0.3327931034358007,1.794922303619819,0.0034258319355493522,0.42901305152088315,-0.5730253233028241,-0.3729336510339611,-0.12301961429948748,1.3470156405974019,-1.638076240752397,2.3338184642922393,-0.16857582534045323,2.714017984724537,-0.8191721891484616,1.5977681549020872,1.486735988177702,1.8668752729441516,1.8119914318251769,3.0305092595160827,0.4099866358460648,0.7219591514785019,0.9786812465978295,0.21309230740259125
279,field,1.0,1.5771370462651746,0.06925378607629819,3.1898681625544762,0.36528929936039406,-0.0686821407566872,-0.6996460094895762,1.0068469375561053,-0.5121710737842866,-1.7390751127854367,3.082037094133693,-0.21404306704665424,-0.542461175485879,-0.403988160697724,-1.9476384474703226,-2.088334197333515,-1.394360911811264,0.6775690033865457,-0.2783938981157764,-0.5712653395103349,-1.6673428643647379,1.728414991265529,-1.3025852346525317,-2.7454443668881034,-0.04902618198839259,-2.597783358390782,-0.02367073706613201,-0.1379946752839117,0.8481041801658834,-0.11717294854010882,1.5173073673012325,-1.1633540552452,-0.43251752642341396,-1.180542288276722,-0.16429066955256788,-1.1723079632457327,-0.7533331306011749,-1.005437033425235,0.4830154861494758,-1.7863336378310202,0.3873843654549062,-1.7932006176051973,1.7837273247710945,-1.4570624204916571,1.2090319547923816,1.3125270396840893,2.064908006136071,2.077964504056902,3.690227059458655,0.7093401261805986,0.6503921574158528,1.3402746668146706,0.2388386851800547
229,field,2.0,1.5715785855305733,0.4570529701443814,2.677456552445821,-0.38902141465529727,-0.6133023669877101,-0.2963581883147755,0.9860238665225716,-1.175455680522878,-1.9291226226254767,2.9615668709160694,-1.2444785141077777,-1.4644809365211264,-0.5415812674898954,-2.8134000967098425,-2.481810591752379,-1.047212996819505,0.5508700123600946,-0.5620401542288874,-0.41237088473032424,-1.7411722552358981,1.1097391415585218,-2.009640784961482,-2.8638532743398755,0.5088593233654622,-2.523562386432601,0.40720061000041924,-0.6270724449436242,0.1570918311938375,-0.868970789536789,1.4396166300583624,-0.4545105486019009,0.47181452683077774,2.1397791942712954,-0.33821541944563677,-1.2761663226487765,-0.7420294489883772,-1.1520734694304209,0.360454886205218,-1.4132828527591537,0.8659825275018377,-1.268679112925318,2.2118480912290983,-1.2491636294441104,1.454463667963705,1.4948032103986186,1.7809652717461935,2.4228834499144862,2.825852680440314,1.147639119639276,1.2622702475031882,1.438056414014397,0.7951587734053158
