N	Stage	Well	1-Pentene	2-Methyl-1-butene	Pentane	Pentane, 2-methyl-	Pentane, 3-methyl-	1-Hexene	n-Hexane	Cyclopentane, methyl-	Pentane, 2,4-dimethyl-	Benzene	Cyclohexane	Hexane, 2-methyl-	Hexane, 3-methyl-	Cyclopentane, 1,3-dimethyl-, cis-	Cyclopentane, 1,3-dimethyl-, trans-	Cyclopentane, 1,2-dimethyl-, trans-	1-Heptene	Heptane	Cyclohexane, methyl-	Hexane, 2,5-dimethyl-	Toluene	Heptane, 3-methyl-	Cyclohexane, 1,4-dimethyl-, trans-	1-Octene	Cyclohexane, 1,2-dimethyl-, trans-	Octane	Ethylbenzene	Benzene, 1,3-dimethyl-	p-Xylene	o-Xylene	1-Nonene	Nonane	Benzene, propyl-	Benzene, 1-ethyl-3-methyl-	Benzene, 1-ethyl-4-methyl-	Mesitylene	Benzene, 1-ethyl-2-methyl-	Benzene, 1,2,4-trimethyl-	1-Decene	Decane	Benzene, n-butyl-	Undecane	Benzene, 1,2,4,5-tetramethyl-	Dodecane	Tridecane	Tetradecane	Pentadecane	Hexadecane	Heptadecane	Pentadecane, 2,6,10,14-tetramethyl-	Octadecane	Hexadecane, 2,6,10,14-tetramethyl-
314	2	1_IRG	3.61786	1.27672	14.68853	0.44506	0.41574	0.33756	2.77509	0.20067	0.05964	9.10324	0.13637	0.11994	0.14263	0.01631	0.01465	0.04707	0.67563	0.29661	0.09098	0.0379	3.04619	0.05169	0.01119	0.25376	0.01916	0.45326	0.37256	1.03703	0.46573	2.48861	0.20044	0.69066	0.24113	0.42066	0.16804	0.22416	0.18122	0.96396	0.10315	1.46047	0.12428	3.24743	0.12077	1.42743	1.68784	2.90152	1.45833	9.4404	0.41746	0.39482	0.13559	0.19999
316	2	1_IRG	1.03877	0.29957	1.92206	0.09587	0.04961	0.13734	0.41398	0.02793	0.01681	11.92339	0.04482	0.04601	0.05643	0.00843	0.00728	0.03061	0.3379	0.11954	0.04266	0.03669	0.81348	0.02511	0.00905	0.14975	0.01431	0.23312	0.12549	0.23504	0.14655	0.76044	0.12294	1.43147	25.83848	0.15138	0.0629	0.1431	0.06103	0.32216	0.05303	0.5028	0.05078	1.82997	0.06111	0.96148	1.02062	3.51737	2.21029	21.81985	1.03424	0.78193	1.72719	0.73649
318	2	1_IRG	3.78159	0.7077	21.25704	1.87907	1.58793	0.5668	6.47484	0.40045	0.29414	11.26931	0.07613	0.76604	0.79015	0.09091	0.07813	0.11003	2.57061	1.89844	0.37766	0.31781	4.35107	0.81621	0.17805	0.56379	0.14693	2.14481	1.74458	4.33489	2.2983	5.96135	0.35182	2.27789	0.73619	2.09177	0.96844	0.79086	0.70288	3.08052	0.12799	1.88	0.15001	2.2825	0.12162	1.09209	0.996	1.91158	1.80426	6.06176	0.72369	0.6943	0.45741	0.45966
326	2	1_IRG	1.5083	0.55788	0.85433	0.1209	0.06341	0.2903	0.23676	0.02887	0.01598	6.72006	0.03604	0.02192	0.03375	0.00538	0.00697	0.01448	0.33628	0.11081	0.0239	0.01331	0.4483	0.02136	0.00001	0.2032	0.01215	0.25495	0.10467	0.25355	0.04875	1.01468	0.17612	0.57463	3.29664	0.14496	0.05555	0.30616	0.07114	0.34771	0.12075	0.53656	0.04534	3.51339	0.06994	1.12761	1.29388	2.58316	1.91607	11.26543	0.72514	0.64957	0.59879	0.4552
328	2	1_IRG	0.99113	0.35942	2.64885	0.10812	0.07901	0.2156	0.80743	0.02844	0.02677	6.99169	0.02087	0.04812	0.07163	0.00594	0.00852	0.01491	0.43392	0.20049	0.04062	0.0357	0.892	0.03313	0.01005	0.22173	0.01363	0.31658	0.15951	0.36793	0.16109	1.3386	0.11735	0.35828	0.4004	0.19122	0.07038	0.24067	0.08357	0.40216	0.1047	0.59947	0.04863	2.30483	0.06641	1.0394	1.03553	1.6727	1.81734	4.37682	0.47241	0.50531	0.23412	0.31631
330	2	1_IRG	2.12681	0.64076	1.56372	0.13108	0.06914	0.33965	0.43352	0.02819	0.02101	9.52508	0.01651	0.04219	0.07281	0.00001	0.00001	0.0222	0.46899	0.14569	0.03139	0.02375	0.68599	0.02561	0.0054	0.16934	0.00997	0.27958	0.02541	0.32503	0.14726	1.31614	0.12902	0.23154	0.06549	0.16504	0.06557	0.13019	0.08133	0.3947	0.06547	0.56598	0.05141	2.6158	0.06865	1.54123	1.6154	2.52813	2.63721	6.76654	0.8521	0.90807	0.43318	0.6215
266	2	3_IRG	1.47423	0.43926	2.41543	0.06331	0.08967	0.2836	0.65675	0.05188	0.02855	5.44143	0.05272	0.04732	0.06023	0.00953	0.00524	0.02144	0.56785	0.21391	0.04748	0.02837	0.75321	0.02682	0.00933	0.46203	0.04427	0.30437	0.19991	0.47792	0.15696	1.44669	0.23277	0.39407	0.23132	0.25036	0.09784	0.17191	0.11043	0.53017	0.07851	1.05807	0.05985	20.01441	0.09562	1.70325	1.64247	2.90485	2.40996	10.77014	0.85861	0.72589	0.40277	0.60744
268	2	3_IRG	2.00291	0.58228	7.96042	0.48087	0.29198	0.26986	2.8802	0.1255	0.04844	6.54776	0.07057	0.15246	0.16074	0.01395	0.01348	0.02711	0.67596	0.35883	0.07086	0.05817	1.90416	0.08797	0.01363	0.2017	0.01152	0.51752	0.39056	0.95572	0.3491	2.64641	0.13261	0.44964	0.05547	0.26411	0.08829	0.15865	0.12073	0.49528	0.0305	1.11848	0.06359	18.7994	0.05946	1.1389	1.00075	1.71478	1.40004	3.23246	0.37425	0.4716	0.40455	0.28909
270	2	3_IRG	0.85202	0.27912	5.3062	0.16015	0.11455	0.12628	0.78564	0.06213	0.018	5.85832	0.01731	0.03301	0.04031	0.00697	0.01142	0.01082	0.40247	0.08956	0.03424	0.02321	0.38655	0.02232	0.00931	0.46496	0.01537	0.1846	0.10226	0.25792	0.10698	1.02342	0.1266	0.19229	0.06737	0.13409	0.04628	0.08956	0.06107	0.2817	0.04998	0.37825	0.04009	1.46331	0.0451	0.80309	0.85064	1.21124	1.43929	2.47121	0.31931	0.37497	0.45198	0.23397
272	2	3_IRG	1.65139	0.45345	5.40528	0.30474	0.20103	0.25885	1.88813	0.10867	0.03874	5.78461	0.05235	0.13589	0.12394	0.01624	0.01249	0.02498	0.49464	0.29294	0.06777	0.07321	1.27635	0.05921	0.01702	0.29202	0.03402	0.34966	0.21647	0.51787	0.202	1.59244	0.20367	0.38045	0.10827	0.24151	0.09695	0.15462	0.10899	0.46866	0.0485	0.58879	0.07647	2.31839	0.08442	1.36107	0.96655	4.21957	2.38138	19.69739	0.73468	0.6501	1.35978	0.51052
274	2	3_IRG	1.44148	0.45952	13.33097	0.41849	0.25365	0.20489	8.37286	0.14498	0.04618	6.04083	0.0796	0.16658	0.13725	0.02116	0.01603	0.02535	0.54807	0.29628	0.0645	0.06111	1.85823	0.06185	0.01265	0.26781	0.01305	0.33692	0.28437	0.70332	0.29654	1.5964	0.10513	0.2539	0.1873	0.21916	0.07058	0.12432	0.09548	0.41268	0.02939	0.41506	0.04506	1.42163	0.04446	0.74512	0.79608	1.15034	1.56953	3.688	0.34428	0.39089	0.52148	0.25684
276	2	3_IRG	2.23819	0.73036	6.53954	0.36894	0.26076	0.33479	1.65477	0.14383	0.04775	8.4698	0.11521	0.13921	0.17184	0.02831	0.03284	0.06839	0.89061	0.35865	0.15338	0.08205	2.25766	0.06874	0.01902	0.71901	0.02908	0.50417	0.37208	0.85907	0.37889	2.31447	0.24678	0.39198	0.15329	0.34241	0.12192	0.22594	0.1503	0.69368	0.10534	0.78695	0.0828	3.05692	0.11572	2.06341	2.53594	4.38695	5.02239	11.67567	0.97236	0.96353	0.91614	0.562
278	2	3_IRG	2.50946	0.45943	10.10483	0.73021	0.48598	0.32358	1.70103	0.26552	0.06678	9.04697	0.27998	0.32728	0.40353	0.07388	0.06078	0.09086	1.22736	0.50593	0.26847	0.11212	3.93096	0.16295	0.04217	0.37981	0.04088	0.64066	0.64302	1.43916	0.63526	2.43996	0.19203	0.39447	0.15621	0.43225	0.15531	0.22224	0.18872	0.80097	0.08907	0.58427	0.06224	2.24617	0.08605	1.20771	1.46963	2.60056	3.19317	9.09333	0.78838	0.78317	0.74924	0.58629
321	2	3_IRG	2.29719	0.7822	7.99074	0.31293	0.19257	0.32809	1.25016	0.11045	0.03674	7.02664	0.08017	0.09893	0.1017	0.01428	0.01259	0.03853	0.50202	0.24225	0.08254	0.02264	1.39988	0.04909	0.01356	0.44933	0.02021	0.39456	0.23709	0.50358	0.19037	1.49924	0.28445	0.81424	0.0971	0.22722	0.09106	0.28283	0.1042	0.49301	0.08528	0.84239	0.07752	5.1524	0.09131	2.11462	1.45785	6.2703	3.80376	20.30092	1.29799	1.00725	1.70249	0.87078
323	2	3_IRG	2.16532	0.64674	8.25076	0.39822	0.30267	0.31356	1.81764	0.11776	0.0679	7.14488	0.06187	0.4086	0.39615	0.02226	0.01989	0.0478	0.52321	1.051	0.11038	0.09834	4.61504	0.35717	0.02957	0.57953	0.02834	1.57955	0.94713	2.09943	1.1068	4.71215	0.34506	2.14867	0.31063	0.80646	0.34286	0.54573	0.30443	1.10742	0.07579	2.44925	0.11413	4.81267	0.10447	2.05574	1.46147	2.61703	1.86153	9.90711	1.20325	0.48878	0.58183	0.3321
